Group,Type,F1_mean,F1_std,Performance_Drop,Drop_CI_Low,Drop_CI_High,Relative_Importance_%,Wilcoxon_statistic,Wilcoxon_p,Significant,Drop_Bohren,Drop_Drehen,Drop_Fraesen,Mean_Gate_Value,p_holm
dimensions,WITHOUT,0.8081007275332546,0.019977495220646235,0.027956175142973234,0.02078520924643946,0.035118759167089876,40.97580198196687,319.0,4.172325134277344e-07,True,0.021843320159594982,0.01968578694878782,0.04233941832053688,,2.5033950805664062e-06
geometric_tolerances,WITHOUT,0.8302800171238282,0.018727049017936495,0.005776885552399573,-0.00046093371310004886,0.012403618609659637,8.467271265007357,211.0,0.1001080870628357,False,0.007210783942082042,0.006380268137271967,0.003739604577844746,,0.5005404353141785
surface_finish,WITHOUT,0.831261109108604,0.021820036581815947,0.0047957935676236916,-0.0014825236888144672,0.011779942811206156,7.029269439340018,206.0,0.12605196237564087,False,0.008054594267435648,0.001377756512760886,0.00495502992267455,,0.5042078495025635
fits,WITHOUT,0.8326052728142712,0.022100436197938403,0.003451629861956547,-0.0038215698788496393,0.011075979016397541,5.059107728981454,191.0,0.2289232313632965,False,0.003587446695416139,0.003285241409852269,0.00348220148060121,,0.5042078495025635
dimensional_tolerances,WITHOUT,0.8335954921603431,0.023812964476635588,0.0024614105158845103,-0.0035335279472528585,0.00822233869751225,3.6077277874890283,203.0,0.14361464977264404,False,0.00261675869107306,0.001150991296454671,0.003616481560125795,,0.5042078495025635
datums,WITHOUT,0.8342296038357699,0.017281387818980337,0.0018272988404577806,-0.003950480682186566,0.00768687964066305,2.678300413613465,184.0,0.28910312056541443,False,0.0038881354777093825,0.00013540658770076598,0.0014583544559632288,,0.5042078495025635
KEY_PMI (Dim+GeoTol),ONLY,0.8285393877276129,0.01990368317305688,-0.06070854480068947,-0.07012190014885823,-0.05082317614616164,88.98146107772071,325.0,2.9802322387695312e-08,True,,,,,
